# Dec(deg) RA(deg) MueE(photon*m)  NChan   AngErrorEstimate(deg)   MJD
16.263 199.640 1547.505 25 1.828 54832.03155974
49.798 51.362 2218.738 17 1.271 54832.07397711
2.916 60.609 1331.831 20 0.633 54832.10485939
6.017 61.598 1826.764 24 0.613 54832.10903001
13.546 38.283 1890.761 28 0.561 54832.12879711
55.381 175.000 1593.688 14 0.540 54832.14222894
59.197 67.195 1414.721 31 1.351 54832.14382148
23.821 333.761 3195.756 28 1.631 54832.16034195
3.156 287.085 3445.839 32 0.613 54832.17297849
11.888 68.335 1665.198 19 2.243 54832.20956885
13.908 330.120 2216.125 21 0.948 54832.21612069
15.885 239.603 2807.318 27 1.678 54832.24178577
22.432 7.876 1781.677 15 1.683 54832.33610322
19.116 137.340 5102.866 19 2.163 54832.35694149
65.510 150.286 1415.562 22 0.593 54832.37981615
70.823 18.101 2233.100 25 0.550 54832.38382199
0.303 19.798 2695.939 16 2.042 54832.39446252
42.319 124.221 7307.208 52 1.158 54832.40439940
5.196 352.463 1358.967 19 1.880 54832.44742295
26.292 10.697 3036.887 18 0.634 54832.46270804
52.154 171.164 1478.400 16 1.784 54832.51548701
37.538 28.128 960.391 20 0.796 54832.52629833
58.804 150.650 1741.927 20 0.832 54832.66758635
52.789 328.982 1326.543 28 1.043 54832.67348022
15.876 28.089 2841.806 19 1.567 54832.73880322
23.615 116.011 3078.450 25 1.238 54832.74563273
14.979 258.856 7061.754 30 0.898 54832.76096987
0.645 142.029 784.504 17 1.405 54832.81723800
34.571 273.412 2362.881 21 1.656 54832.84510840
4.523 24.959 9920.236 29 0.707 54832.84774716
4.919 349.425 2227.527 23 2.381 54832.84855194
45.062 346.025 1396.055 19 0.987 54832.85749362
20.452 141.815 623.211 17 0.610 54832.86722879
22.915 144.513 2017.631 27 0.595 54832.92835954
29.770 236.700 5398.017 29 0.626 54833.01454683
24.528 322.351 3342.847 15 2.493 54833.03492087
31.766 219.023 3296.489 30 0.971 54833.03616501
37.912 240.002 4312.626 37 0.598 54833.06085267
14.204 125.707 3374.437 20 1.729 54833.09241907
49.397 255.008 1467.906 25 1.024 54833.17611656
70.491 251.602 2898.464 26 0.917 54833.19825983
11.146 294.344 2329.011 36 0.736 54833.23589803
6.626 284.862 1236.315 23 0.445 54833.26034554
50.742 277.045 1648.799 15 2.003 54833.26385501
17.079 314.807 1734.449 26 0.748 54833.29044795
